병원명,시술명,샷수,도시,정가,할인가
Vincent Clinic Promenade,Program Ultraformer MPT (200 Shots),200,방콕,"฿16,799","฿12,999"
Vincent Clinic Promenade,Program Ultraformer MPT (400 Shots),400,방콕,"฿28,799","฿18,999"
Vincent Clinic Promenade,Program Ultraformer MPT (800 Shots),800,방콕,"฿38,399","฿29,990"
Vincent Clinic Promenade,Program Ultraformer MPT (600 Shots),600,방콕,"฿35,999","฿29,099"
Romrawin Clinic Silom Complex,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,기타,"฿40,000","฿15,000"
Romrawin Clinic Silom Complex,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,기타,"฿43,000","฿24,990"
Vincent Clinic Central Rama 2,Program Ultraformer MPT (200 Shots),200,방콕,"฿16,799","฿12,999"
Vincent Clinic Central Rama 2,Program Ultraformer MPT (800 Shots),800,방콕,"฿38,399","฿29,990"
Vincent Clinic Central Rama 2,Program Ultraformer MPT (400 Shots),400,방콕,"฿28,799","฿18,999"
Vincent Clinic Central Rama 2,Program Ultraformer MPT (600 Shots),600,방콕,"฿35,999","฿29,099"
Romrawin Clinic Future Park Rangsit,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,방콕,"฿43,000","฿24,990"
Romrawin Clinic Future Park Rangsit,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,방콕,"฿40,000","฿15,000"
Nakornthon Hospital,V Lifting with Ultraformer MPT 400 Shots (Free! DSB Ampoule) (11869379P00)*,400,방콕,"฿25,245","฿15,900"
Nakornthon Hospital,Ultraformer MPT 600 Shots (get additional 2 tubes of DSB Ampoule)* [11869380P00],600,방콕,"฿33,350","฿21,900"
Nakornthon Hospital,V Lifting with Ultraformer MPT 300 Shots (11869378P00)*,300,방콕,"฿19,500","฿12,900"
Nakornthon Hospital,Ultraformer MPT - Face Contouring (800 Shots) (Free DSB Ampoule 2 Vials) 11869381P00,800,방콕,"฿43,350","฿27,900"
Nakornthon Hospital,Ultraformer MPT - Face Contouring (1200 Shots) (Free DSB Ampoule 2 Vials) 11869382P00,1200,방콕,"฿61,850","฿36,900"
The Ritz Clinic Future Park Rangsit,Ultraformer MPT (400 Lines),400,방콕,"฿16,400","฿15,900"
View Clinic Thailand Sukhumvit Soi 24,Ultraformer MPT- (300 Shots)  (1 Time) (Authentic Product / Physician-Performed),300,방콕,"฿9,900","฿8,990"
View Clinic Thailand Sukhumvit Soi 24,Ultraformer MPT – (200 Shots) (1 Session) (Authentic Machine/ Physician-Performed),200,방콕,"฿11,900","฿5,890"
View Clinic Thailand Sukhumvit Soi 24,"Ultraformer MPT Skin Booster 200 Shots (Authentic Equipment, Verifiable / Physician-Performed Procedure)",200,방콕,"฿3,900","฿3,290"
Gangnam Clinic Centralplaza Salaya,Ultraformer MPT (400 Shots) by Doctor,400,기타,"฿22,000","฿14,000"
Gangnam Clinic Emsphere,Ultraformer MPT (400 Shots) by Doctor,400,방콕,"฿22,000","฿14,000"
Gangnam Clinic Central Phuket Floresta,Ultraformer MPT (400 Shots) by Doctor,400,푸켓,"฿22,000","฿14,000"
Romrawin Clinic The Promenade,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,방콕,"฿43,000","฿24,990"
Romrawin Clinic The Promenade,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,방콕,"฿40,000","฿15,000"
The Ritz Clinic The Mall Bang Kapi,Ultraformer MPT (400 Lines),400,기타,"฿20,000","฿15,900"
Gangnam Clinic Mega Bangna,Ultraformer MPT (400 Shots) by Doctor,400,방콕,"฿22,000","฿14,000"
Romrawin Clinic Centralplaza Chaengwattana,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,방콕,"฿40,000","฿15,000"
Romrawin Clinic Centralplaza Chaengwattana,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,방콕,"฿43,000","฿24,990"
Romrawin Clinic Central Festival Pattaya,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,기타,"฿43,000","฿24,990"
Romrawin Clinic Central Festival Pattaya,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,기타,"฿40,000","฿15,000"
Romrawin Clinic Central Ladprao,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,방콕,"฿40,000","฿15,000"
Romrawin Clinic Central Ladprao,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,방콕,"฿43,000","฿24,990"
Gangnam Clinic Central Pattaya,Ultraformer MPT (400 Shots) by Doctor,400,기타,"฿22,000","฿14,000"
Gangnam Clinic Central Ayutthaya,Ultraformer MPT (400 Shots) by Doctor,400,기타,"฿22,000","฿14,000"
Gangnam Clinic Central Hatyai,Ultraformer MPT (400 Shots) by Doctor,400,기타,"฿22,000","฿14,000"
Gangnam Clinic Central Chonburi,Ultraformer MPT (400 Shots) by Doctor,400,기타,"฿22,000","฿14,000"
Romrawin,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*  *Can't be used at Chidlom branch*,400,방콕,"฿40,000","฿15,000"
Romrawin,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time *Can't be used at Chidlom branch*,400,방콕,"฿43,000","฿24,990"
Romrawin Clinic Central Festival Chiang Mai,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,치앙마이,"฿43,000","฿24,990"
Romrawin Clinic Central Festival Chiang Mai,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,치앙마이,"฿40,000","฿15,000"
Gmn Clinic Bearing,Ultraformer MPT (300 Shots),300,방콕,"฿29,999","฿8,999"
Gmn Clinic Bearing,Ultraformer MPT (100 Shots),100,방콕,"฿11,999","฿5,999"
Gmn Clinic Bearing,Ultraformer MPT (500 Shots),500,방콕,"฿44,999","฿29,995"
Gmn Clinic Bearing,Ultraformer MPT( 200 Shots),200,방콕,"฿17,999","฿11,999"
Gmn Clinic Bearing,Ultraformer MPT (800 Shots),800,방콕,"฿56,999","฿47,990"
Gmn Clinic Bearing,Ultraformer MPT (400 Shots),400,방콕,"฿35,999","฿15,999"
Gmn Clinic Bearing,Ultraformer MPT (600 Shots),600,방콕,"฿50,999","฿35,990"
Gmn Clinic Bearing,"Ultraformer MPT (1,000 Shots)",0,방콕,"฿59,999","฿49,900"
Gangnam Clinic Central Plaza Grand Rama 9,Ultraformer MPT (400 Shots) by Doctor,400,방콕,"฿22,000","฿14,000"
Poff Clinic,Ultraformer MPT Lifting (200 Shots),200,방콕,"฿16,490","฿9,999"
Poff Clinic,Ultraformer MPT Lifting (400 Shots),400,방콕,"฿18,500","฿15,990"
Poff Clinic,Ultraformer MPT Lifting (600 Shots),600,방콕,"฿22,490","฿21,990"
Poff Clinic,Ultraformer MPT Lifting (800 Shots),800,방콕,"฿28,490","฿27,990"
Romrawin Clinic Central Phuket Floresta,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,푸켓,"฿43,000","฿24,990"
Romrawin Clinic Central Phuket Floresta,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,푸켓,"฿40,000","฿15,000"
Gangnam Clinic Central Rayong,Ultraformer MPT (400 Shots) by Doctor,400,기타,"฿22,000","฿14,000"
The Ritz Clinic Ics Lifestyle Complex,Ultraformer MPT (400 Lines),400,방콕,"฿20,000","฿15,900"
The Crown Clinic,Ultraformer MPT 1300 shots,1300,방콕,,
The Crown Clinic,Ultraformer MPT (800 Shots),800,방콕,"฿14,999","฿12,999"
The Crown Clinic,Ultraformer MPT 900 shots,900,방콕,,
The Crown Clinic,Ultraformer MPT 600 shots,600,방콕,,
The Crown Clinic,Ultraformer MPT 800 shots,800,방콕,,
Gangnam Clinic Central Nakhon Sawan,Ultraformer MPT (400 Shots) by Doctor,400,기타,"฿22,000","฿14,000"
Romrawin Clinic Emquartier,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,방콕,"฿40,000","฿15,000"
Romrawin Clinic Emquartier,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,방콕,"฿43,000","฿24,990"
Gangnam Clinic Central Suratthani,Ultraformer MPT (400 Shots) by Doctor,400,기타,"฿22,000","฿14,000"
Romrawin Clinic Central Westgate,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,방콕,"฿40,000","฿15,000"
Romrawin Clinic Central Westgate,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,방콕,"฿43,000","฿24,990"
Romrawin Clinic Central Salaya,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,기타,"฿40,000","฿15,000"
