병원명,시술명,샷수,도시,정가,할인가
Eight Medical Clinic Ramkhamhaeng,Soft Thermage - Cheeks/Jawline/Under Eyes/Neck (1000 Shots),1000,방콕,"฿4,999","฿1,999"
Gangnam Clinic The Mall Ngamwongwan,Soft Thermage (Derwave) - Whole Face (Unlimited Shots),,방콕,"฿10,000",฿970
The Klinique Central World,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,방콕,"฿80,000","฿34,999"
Pruksa Clinic Siam Center Branch,Thermage CPT - Facial Lifting (1200 Shots),1200,방콕,"฿120,000","฿59,990"
Romrawin Clinic The Promenade,Thermage FLX Blue Tip 400 Shots FREE Slim face 5cc.,400,방콕,"฿159,000","฿39,900"
Romrawin Clinic Centralplaza Chaengwattana,Thermage FLX Blue Tip 400 Shots FREE Slim face 5cc.,400,방콕,"฿159,000","฿39,900"
Romrawin Clinic Central Festival Pattaya,Thermage FLX Blue Tip 400 Shots FREE Slim face 5cc.,400,기타,"฿159,000","฿39,900"
The Klinique Marche Thonglor,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,방콕,"฿80,000","฿34,999"
The Klinique Future Park Rangsit,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,방콕,"฿80,000","฿34,999"
Pruksa Clinic Ari Branch,Thermage FLX - Facial Lifting (900 Shots),900,방콕,"฿120,000","฿59,990"
Pruksa Clinic Ari Branch,Thermage CPT - Facial Lifting (1200 Shots),1200,방콕,"฿120,000","฿59,990"
Romrawin Clinic Central Ladprao,Thermage FLX Blue Tip 400 Shots FREE Slim face 5cc.,400,방콕,"฿159,000","฿39,900"
The Klinique Central Phitsanulok,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,기타,"฿80,000","฿34,999"
Romrawin,Thermage FLX Blue Tip 400 Shots FREE Slim face 5cc. *Can't be used at Chidlom branch*,400,방콕,"฿159,000","฿39,900"
The Klinique The Mall Bangkapi,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,방콕,"฿80,000","฿34,999"
Romrawin Clinic Central Festival Chiang Mai,Thermage FLX Blue Tip 400 Shots FREE Slim face 5cc.,400,치앙마이,"฿159,000","฿39,900"
The Klinique Central Festival Hatyai,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,기타,"฿80,000","฿34,999"
The Klinique Centralplaza Pinklao,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,방콕,"฿80,000","฿34,999"
Pruksa Clinic Big C Market Kheha Romklao Branch,Thermage CPT - Facial Lifting (1200 Shots),1200,방콕,"฿120,000","฿59,990"
Gen Z Clinic The Glory Phloen Chit Branch,Thermage FLX - Face (600 Shots) - Service is available by appointment only (walk-ins are not accepted),600,방콕,"฿100,000","฿48,999"
Gen Z Clinic The Glory Phloen Chit Branch,Thermage FLX - Eye (450 Shots) - Service is available by appointment only (walk-ins are not accepted),450,방콕,"฿90,000","฿35,999"
Gen Z Clinic The Glory Phloen Chit Branch,Thermage FLX - Face (900 Shots) - Service is available by appointment only (walk-ins are not accepted),900,방콕,"฿130,000","฿65,999"
Gen Z Clinic The Glory Phloen Chit Branch,Thermage FLX - Body (500 Shots) - Service is available by appointment only (walk-ins are not accepted),500,방콕,"฿160,000","฿79,999"
Romrawin Clinic Central Phuket Floresta,Thermage FLX Blue Tip 400 Shots FREE Slim face 5cc.,400,푸켓,"฿159,000","฿39,900"
Romrawin Clinic Emquartier,Thermage FLX Blue Tip 400 Shots FREE Slim face 5cc.,400,방콕,"฿159,000","฿39,900"
Romrawin Clinic Central Westgate,Thermage FLX Blue Tip 400 Shots FREE Slim face 5cc.,400,방콕,"฿159,000","฿39,900"
Lovely Eye Skin Clinic By,Lovely Eye Reborn Program (L) By Thermage Eye 450 shots (Please make a reservation in advanced),450,방콕,"฿64,290","฿49,900"
Lovely Eye Skin Clinic By,Lovely Eye Reborn Program (XL) By Thermage Eye & Ultherapy Eye Lock (Please make a reservation in advanced),,방콕,"฿98,590","฿75,000"
Lovely Eye Skin Clinic By,Lovely Eye Reborn Program (M) By Thermage Eye 225 shots (Please make a reservation in advanced),225,방콕,"฿42,900","฿37,900"
Nan Cho Clinic Mrt Wat Mangkon Exit 3,Thermage Korea - Cheeks (600 Shots) (*Authentic Machine can be Verify) (Procedure by  Doctor),600,기타,"฿47,400","฿29,990"
Nan Cho Clinic Mrt Wat Mangkon Exit 3,Thermage Korea - Cheeks (300 Shots) (*Authentic Machine can be Verify) (Procedure by  Doctor),300,기타,"฿23,700","฿15,990"
Nan Cho Clinic Mrt Wat Mangkon Exit 3,Thermage Korea - Double Chin (100 Shots) (*Authentic Machine can be Verify) (Procedure by  Doctor),100,기타,"฿7,900","฿5,990"
Romrawin Clinic Central Salaya,Thermage FLX Blue Tip 400 Shots FREE Slim face 5cc.,400,기타,"฿159,000","฿39,900"
The Klinique Seacon Square Srinakarin,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,방콕,"฿80,000","฿34,999"
Esthe Clinic,Thermage FLX (900 shot),900,기타,"฿89,000","฿66,920"
Esthe Clinic,Thermage FLX 450 Shots,450,기타,"฿49,000","฿37,799"
Esthe Clinic,Thermage FLX (300 shots),300,기타,"฿29,900","฿25,900"
Clinicneo Bts Udomsuk,Mini Thermage (Athron C) (1 Time),,방콕,"฿10,000","฿4,850"
The Klinique Central Festival Phuket,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,푸켓,"฿80,000","฿34,999"
Pruksa Clinic Central Rama 2 Branch,Thermage CPT - Facial Lifting (1200 Shots),1200,방콕,"฿120,000","฿59,990"
Pruksa Clinic Future Park Rangsit Branch,Thermage CPT - Facial Lifting (1200 Shots),1200,방콕,"฿120,000","฿59,990"
The Klinique Centralplaza Ladprao,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,방콕,"฿80,000","฿34,999"
Pruksa Clinic The Scene Town In Town Branch,Thermage CPT - Facial Lifting (1200 Shots),1200,방콕,"฿120,000","฿59,990"
Romrawin Clinic Nanglinchi Road,Thermage FLX Blue Tip 400 Shots FREE Slim face 5cc.,400,기타,"฿159,000","฿39,900"
R3 Life Wellness Center Silom Branch,Thermage FLX - Facial (900 Shots),900,방콕,"฿99,000","฿89,100"
R3 Life Wellness Center Silom Branch,Thermage FLX - Eyes (650 Shots),650,방콕,"฿65,000","฿58,500"
Charm Clinic By Dr Nok,Thermage FLX (900 Shots),900,방콕,"฿90,000","฿64,950"
The Klinique Central Surat Thani,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,기타,"฿80,000","฿34,999"
The Klinique Central Westville,Thermage FLX PRO (Blue Tip) FREE Lipo Supreme 1 Time (C0GWB015),,기타,"฿80,000","฿34,999"
Pruksa Clinic The Nine Rama 9 Branch,Thermage FLX - Facial Lifting (900 Shots),900,방콕,"฿120,000","฿59,990"
Pruksa Clinic The Nine Rama 9 Branch,Thermage CPT - Facial Lifting (1200 Shots),1200,방콕,"฿120,000","฿59,990"
Romrawin Clinic Central Grand Rama 9,Thermage FLX Blue Tip 400 Shots FREE Slim face 5cc.,400,방콕,"฿159,000","฿39,900"
Zense Clinic Bang Rak Phatthana,"Thermage FLX Lifting – Price per Shot (฿1,000/Shot, New Customers Only)",,방콕,,
Zense Clinic Bang Rak Phatthana,Thermage FLX Lifting – Full Face (300 Shots),300,방콕,"฿30,000","฿17,900"
Zense Clinic Bang Rak Phatthana,Thermage FLX Lifting – Full Face (500 Shots),500,방콕,"฿50,000","฿32,900"
Zense Clinic Bang Rak Phatthana,Thermage FLX – Full Face (1000 Shots),1000,방콕,"฿100,000","฿55,000"
Zense Clinic Bang Rak Phatthana,Thermage FLX Lifting – Full Face (800 Shots),800,방콕,"฿90,000","฿46,000"
