병원명,시술명,샷수,도시,정가,할인가
Cher Clinic Ratchathewi,Ulthera (1000 Shots) [Flash Sale eVoucher],1000,방콕,"฿180,000","฿99,999"
The Signature Clinic,Ulthera PRIME (300 lines) 1 session [Treated by medical doctor],300,방콕,"฿60,000","฿29,999"
L A B X Central Changwattana Lab X,Ulthera SPT - Whole Face (300 Lines) US FDA,300,방콕,"฿75,000","฿27,000"
The Klinique Siam Paragon,Ulthera SPT 200 Lines FREE Pico Laser Bright 1 Time (C0GWB013),200,방콕,"฿48,000","฿24,999"
Cher Clinic Gateway At Bang Sue,Ulthera (1000 Shots) [Flash Sale eVoucher],1000,방콕,"฿180,000","฿99,999"
Cher Clinic Gateway At Bang Sue,Ulthera (300 Shots) [Flash Sale eVoucher],300,방콕,"฿54,000","฿29,999"
Cher Clinic Gateway At Bang Sue,Ulthera (500 Shots) [Flash Sale eVoucher],500,방콕,"฿90,000","฿49,999"
Cher Clinic Gateway At Bang Sue,Ulthera Prime (50 Lines),50,방콕,"฿10,000","฿6,305"
Cher Clinic Gateway At Bang Sue,Ulthera Prime (100 Lines),100,방콕,"฿16,000","฿13,000"
Cher Clinic Central Bangna,Ulthera (300 Shots) [Flash Sale eVoucher],300,방콕,"฿54,000","฿29,999"
Cher Clinic Central Bangna,Ulthera Prime (50 Lines),50,방콕,"฿10,000","฿6,305"
Cher Clinic Central Bangna,Ulthera (500 Shots) [Flash Sale eVoucher],500,방콕,"฿90,000","฿49,999"
Cher Clinic Central Bangna,Ulthera (1000 Shots) [Flash Sale eVoucher],1000,방콕,"฿180,000","฿99,999"
Cher Clinic Central Bangna,Ulthera Prime (100 Lines),100,방콕,"฿16,000","฿13,000"
Cher Clinic Seacon Squre Srinakarin,Ulthera (1000 Shots) [Flash Sale eVoucher],1000,방콕,"฿180,000","฿99,999"
Cher Clinic Seacon Squre Srinakarin,Ulthera Prime (50 Lines),50,방콕,"฿10,000","฿6,305"
Cher Clinic Seacon Squre Srinakarin,Ulthera (500 Shots) [Flash Sale eVoucher],500,방콕,"฿90,000","฿49,999"
Cher Clinic Seacon Squre Srinakarin,Ulthera (300 Shots) [Flash Sale eVoucher],300,방콕,"฿54,000","฿29,999"
Cher Clinic Seacon Squre Srinakarin,Ulthera Prime (100 Lines),100,방콕,"฿16,000","฿13,000"
Cher Clinic The Walk Kaset Nawamin,Ulthera Prime (50 Lines),50,방콕,"฿10,000","฿6,305"
Cher Clinic The Walk Kaset Nawamin,Ulthera Prime (100 Lines),100,방콕,"฿16,000","฿13,000"
Cher Clinic Amorini Mall Ramintra,Ulthera Prime (50 Lines),50,방콕,"฿10,000","฿6,305"
Cher Clinic Amorini Mall Ramintra,Ulthera Prime (100 Lines),100,방콕,"฿16,000","฿13,000"
Cher Clinic The Paseo Mall Lat Krabang,Ulthera Prime (50 Lines),50,방콕,"฿10,000","฿6,305"
Cher Clinic The Paseo Mall Lat Krabang,Ulthera Prime (100 Lines),100,방콕,"฿16,000","฿13,000"
Cher Clinic Asoke,Ulthera Prime (50 Lines),50,방콕,"฿10,000","฿6,305"
Cher Clinic Asoke,Ulthera Prime (100 Lines),100,방콕,"฿16,000","฿13,000"
Surkin Clinic Seacon Square Srinakarin,Ulthera Prime (500 Lines) (*Authentic Machine can be Verify),500,방콕,"฿75,000","฿39,999"
Aestima Clinic Siam Paragon Branch,Ultherapy Prime (Gold Standard) (300 Shots)  Performed by Certified Doctor,300,방콕,"฿60,000","฿39,000"
